time,price,size
2024-12-30 14:43:13+00:00,2.645,0.0
2024-12-30 14:43:13+00:00,2.64,0.0
2024-12-30 14:43:13+00:00,2.65,0.0
2024-12-30 14:43:13+00:00,2.655,0.0
2024-12-30 14:43:13+00:00,2.665,0.0
2024-12-30 14:43:13+00:00,2.645,0.0
2024-12-30 14:43:13+00:00,2.66,0.0
2024-12-30 14:43:13+00:00,2.665,0.0
2024-12-30 14:43:13+00:00,2.66,0.0
2024-12-30 14:43:13+00:00,2.67,0.0
2024-12-30 14:43:13+00:00,2.675,0.0
2024-12-30 14:43:13+00:00,2.685,0.0
2024-12-30 14:43:13+00:00,2.69,0.0
2024-12-30 14:43:13+00:00,2.7,0.0
2024-12-30 14:43:13+00:00,2.705,0.0
2024-12-30 14:43:13+00:00,2.71,0.0
2024-12-30 14:43:13+00:00,2.715,0.0
2024-12-30 14:43:14+00:00,2.725,0.0
2024-12-30 14:43:14+00:00,2.745,0.0
2024-12-30 14:43:14+00:00,2.75,0.0
2024-12-30 14:43:14+00:00,2.755,0.0
2024-12-30 14:43:14+00:00,2.75,0.0
2024-12-30 14:43:14+00:00,2.755,0.0
2024-12-30 14:43:14+00:00,2.75,0.0
2024-12-30 14:43:14+00:00,2.755,0.0
2024-12-30 14:43:14+00:00,2.75,0.0
2024-12-30 14:43:14+00:00,2.76,0.0
2024-12-30 14:43:15+00:00,2.765,0.0
2024-12-30 14:43:15+00:00,2.77,0.0
2024-12-30 14:43:15+00:00,2.775,0.0
2024-12-30 14:43:15+00:00,2.78,0.0
2024-12-30 14:43:15+00:00,2.785,0.0
2024-12-30 14:43:15+00:00,2.79,0.0
2024-12-30 14:43:15+00:00,2.795,0.0
2024-12-30 14:43:15+00:00,2.81,0.0
2024-12-30 14:43:15+00:00,2.82,0.0
2024-12-30 14:43:15+00:00,2.83,0.0
2024-12-30 14:43:15+00:00,2.835,0.0
2024-12-30 14:43:15+00:00,2.83,0.0
2024-12-30 14:43:15+00:00,2.825,0.0
2024-12-30 14:43:15+00:00,2.82,0.0
2024-12-30 14:43:15+00:00,2.81,0.0
2024-12-30 14:43:15+00:00,2.79,0.0
2024-12-30 14:43:15+00:00,2.785,0.0
2024-12-30 14:43:15+00:00,2.78,0.0
2024-12-30 14:43:15+00:00,2.775,0.0
2024-12-30 14:43:15+00:00,2.77,0.0
2024-12-30 14:43:15+00:00,2.765,0.0
2024-12-30 14:43:15+00:00,2.77,0.0
2024-12-30 14:43:15+00:00,2.765,0.0
2024-12-30 14:43:15+00:00,2.755,0.0
2024-12-30 14:43:15+00:00,2.765,0.0
2024-12-30 14:43:15+00:00,2.77,0.0
2024-12-30 14:43:15+00:00,2.775,0.0
2024-12-30 14:43:15+00:00,2.79,0.0
2024-12-30 14:43:15+00:00,2.795,0.0
2024-12-30 14:43:15+00:00,2.79,0.0
2024-12-30 14:43:15+00:00,2.78,0.0
2024-12-30 14:43:16+00:00,2.775,0.0
2024-12-30 14:43:16+00:00,2.78,0.0
2024-12-30 14:43:16+00:00,2.77,0.0
2024-12-30 14:43:16+00:00,2.775,0.0
