2024-12-11 13:08:54.875 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.876 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.886 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.888 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.889 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.889 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.900 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.902 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.902 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.902 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.913 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.915 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.915 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.915 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.926 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.928 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.928 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.928 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.939 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.941 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.942 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.942 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.953 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.955 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.955 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.955 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.972 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.976 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.977 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.977 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.008 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.012 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.013 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:55.014 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.048 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.058 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.058 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:55.059 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.077 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.080 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.080 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:55.080 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.091 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.093 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.094 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:55.094 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.105 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.107 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.108 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:55.108 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.119 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.121 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.122 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:55.122 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.133 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.135 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.136 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:55.136 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:55.147 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:55.149 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:55.149 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
